pH,N,P,K,Moisture,Fertilizer
6.2,40,37,48,28,Organic Manure
6.8,29,49,60,22,NPK
6.9,38,40,67,20,Potassium Sulfate
6.5,29,36,51,27,Potassium Sulfate
7.4,35,58,46,27,Urea
5.8,28,45,48,21,Organic Manure
7.2,32,32,55,20,DAP
6.5,49,41,49,23,Superphosphate
7.3,28,48,40,30,Organic Manure
7.2,32,42,45,30,Ammonium Nitrate
6.5,36,44,56,27,Superphosphate
6.5,43,57,40,26,DAP
6.4,28,54,45,29,Organic Manure
5.8,33,30,66,23,NPK
6.1,50,45,70,19,DAP
6.6,48,45,64,30,Ammonium Nitrate
6.4,26,56,44,30,Compost
7.3,46,42,70,19,Compost
5.9,27,37,63,29,DAP
7.3,26,41,62,25,Superphosphate
6.4,31,39,40,21,DAP
7.2,29,53,44,21,Ammonium Nitrate
6.8,21,46,52,24,Ammonium Nitrate
7.1,40,49,53,29,Potassium Sulfate
6.6,40,37,64,26,DAP
5.6,39,50,59,29,Superphosphate
5.9,35,48,70,29,Urea
6.1,43,42,46,24,Potassium Sulfate
6.2,45,38,66,21,Superphosphate
7.3,42,32,44,17,Urea
6.3,27,56,59,16,Compost
6.3,20,48,50,17,Compost
7.4,48,34,62,27,Superphosphate
5.6,40,50,51,29,Superphosphate
5.6,23,52,52,16,NPK
6.4,20,41,47,19,Superphosphate
5.6,33,36,54,24,Ammonium Nitrate
6.8,23,44,40,22,Compost
5.6,27,41,47,30,Urea
6.5,39,37,69,17,Urea
6.7,22,31,61,26,DAP
6.6,21,30,60,28,DAP
5.9,28,34,56,29,Urea
5.8,25,45,43,24,Potassium Sulfate
6.9,42,43,48,26,DAP
5.7,49,45,48,18,Urea
6.7,50,52,52,16,Urea
6.5,39,59,53,24,NPK
7.4,25,39,44,25,Ammonium Nitrate
6.7,43,43,40,28,Ammonium Nitrate
6.2,45,53,67,24,Ammonium Nitrate
7.0,47,41,41,17,Potassium Sulfate
6.4,46,37,60,16,Ammonium Nitrate
7.2,20,44,62,29,Organic Manure
5.7,38,43,55,24,DAP
6.1,25,36,70,24,Organic Manure
5.9,26,47,61,18,Organic Manure
5.6,46,35,46,19,NPK
5.7,30,41,50,27,Potassium Sulfate
5.9,42,51,43,27,Urea
6.2,33,49,44,24,Ammonium Nitrate
6.5,22,54,61,20,Potassium Sulfate
7.1,49,46,52,24,Urea
6.2,45,45,52,26,Ammonium Nitrate
6.3,27,38,52,20,Urea
7.4,20,48,55,16,Compost
6.5,49,60,69,16,Compost
6.2,46,58,40,21,Urea
5.5,48,38,47,16,Compost
5.8,20,60,67,26,Potassium Sulfate
6.9,26,43,54,22,Compost
6.7,23,38,50,24,NPK
6.7,37,60,41,30,Potassium Sulfate
6.3,41,42,60,26,Compost
5.8,43,40,56,30,NPK
6.7,38,33,66,26,NPK
6.4,47,59,65,22,Compost
7.4,34,48,63,25,Organic Manure
6.2,43,34,40,21,NPK
7.4,42,57,46,21,Organic Manure
6.6,24,31,45,20,Superphosphate
7.4,28,47,56,15,Urea
6.4,35,53,67,23,DAP
5.8,20,47,66,17,NPK
7.3,26,60,56,29,DAP
7.4,22,50,51,21,Urea
5.9,28,43,50,20,DAP
6.0,35,59,54,29,DAP
5.7,42,34,46,26,DAP
5.5,38,43,43,21,Superphosphate
6.5,45,51,55,20,Potassium Sulfate
7.1,29,31,57,29,DAP
6.1,47,32,52,26,DAP
6.4,30,60,63,23,Organic Manure
6.9,35,36,47,25,Potassium Sulfate
7.2,34,50,41,18,Superphosphate
6.3,26,41,50,25,Urea
7.2,30,57,48,18,Potassium Sulfate
6.2,45,40,53,26,Potassium Sulfate
6.4,38,46,58,23,DAP
